
# Stand alone tables
chaashto, GDB_3_chkey, chkey
chconsistence, GDB_4_chkey, chkey
chdesgnsuffix, GDB_5_chkey, chkey
chfrags, GDB_6_chkey, chkey
chorizon, GDB_7_chkey, chkey
chorizon, GDB_7_cokey, cokey
chpores, GDB_8_chkey, chkey
chstruct, GDB_9_chstructgrpkey, chstructgrpkey
chstructgrp, GDB_10_chkey, chkey
chstructgrp, GDB_10_chstructgrpkey, chstructgrpkey
chtext, GDB_11_chkey, chkey
chtexture, GDB_12_chtkey, chtkey
chtexture, GDB_12_chtgkey, chtgkey
chtexturegrp, GDB_13_chkey, chkey
chtexturegrp, GDB_13_chtgkey, chtgkey
chtexturemod, GDB_14_chtkey, chtkey
chunified, GDB_15_chkey, chkey
cocanopycover, GDB_16_cokey, cokey
cocropyld, GDB_17_cokey, cokey
codiagfeatures, GDB_18_cokey, cokey
coecoclass, GDB_19_cokey, cokey
coeplants, GDB_20_cokey, cokey
coerosionacc, GDB_21_cokey, cokey
coforprod, GDB_22_cofprodkey, cofprodkey
coforprod, GDB_22_cokey, cokey
coforprodo, GDB_23_cofprodkey, cofprodkey
cogeomordesc, GDB_24_cogeomdkey, cogeomdkey
cogeomordesc, GDB_24_cokey, cokey
cohydriccriteria, GDB_25_cokey, cokey
cointerp, GDB_26_cokey, cokey
comonth, GDB_27_comonthkey, comonthkey
comonth, GDB_27_cokey, cokey
component, GDB_28_cokey, cokey
component, GDB_28_mukey, mukey
copm, GDB_29_copmgrpkey, copmgrpkey
copmgrp, GDB_30_cokey, cokey
copmgrp, GDB_30_copmgrpkey, copmgrpkey
copwindbreak, GDB_31_cokey, cokey
corestrictions, GDB_32_cokey, cokey
cosoilmoist, GDB_33_comonthkey, comonthkey
cosoiltemp, GDB_34_comonthkey, comonthkey
cosurffrags, GDB_35_cokey, cokey
cosurfmorphgc, GDB_36_cogeomdkey, cogeomdkey
cosurfmorphhpp, GDB_37_cogeomdkey, cogeomdkey
cosurfmorphmr, GDB_38_cogeomdkey, cogeomdkey
cosurfmorphss, GDB_39_cogeomdkey, cogeomdkey
cotaxfmmin, GDB_40_cokey, cokey
cotaxmoistcl, GDB_41_cokey, cokey
cotext, GDB_42_cokey, cokey
cotreestomng, GDB_43_cokey, cokey
cotxfmother, GDB_44_cokey, cokey
distinterpmd, GDB_45_distmdkey, distmdkey
distlegendmd, GDB_46_distmdkey, distmdkey
distmd, GDB_47_distmdkey, distmdkey
featdesc, GDB_48_featkey, featkey
laoverlap, GDB_49_lareaovkey, lareaovkey
laoverlap, GDB_49_lkey, lkey
legend, GDB_50_lkey, lkey
legendtext, GDB_51_lkey, lkey
mapunit, GDB_52_mukey, mukey
mapunit, GDB_52_lkey, lkey
muaggatt, GDB_54_mukey, mukey
muaoverlap, GDB_55_lareaovkey, lareaovkey
muaoverlap, GDB_55_mukey, mukey
mucropyld, GDB_56_mukey, mukey
mutext, GDB_57_mukey, mukey
sacatalog, GDB_58_areasymbol, areasymbol
sacatalog, GDB_58_sacatalogkey, sacatalogkey
sainterp, GDB_59_sacatalogkey, sacatalogkey

# FeatureClasses            
MUPOLYGON, GDB_72_MUKEY, MUKEY
FEATLINE, GDB_73_FEATKEY, FEATKEY
FEATPOINT, GDB_74_FEATKEY, FEATKEY
MULINE, GDB_75_MUKEY, MUKEY
SAPOLYGON, GDB_76_LKEY, LKEY
SAPOLYGON, GDB_76_AREASYMBOL, AREASYMBOL
MUPOINT, GDB_77_MUKEY, MUKEY
